               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.072879,            0.013104,           0.0052165,             0.61909,             0.45455,             0.50639,             0.16357,            0.068983,           0.0074469,           0.0040014,           0.0075052,           0.0075052,           0.0075052
                 128,            0.066309,            0.017647,           0.0056324,             0.61909,             0.45455,             0.50639,             0.16357,            0.068983,           0.0074469,           0.0040014,           0.0074854,           0.0074854,           0.0074854
                 129,            0.069753,            0.012555,           0.0051322,             0.61909,             0.45455,             0.50639,             0.16357,            0.068983,           0.0074469,           0.0040014,           0.0074656,           0.0074656,           0.0074656
                 130,            0.068346,            0.014055,           0.0049953,             0.61909,             0.45455,             0.50639,             0.16357,            0.068983,           0.0074469,           0.0040014,           0.0074458,           0.0074458,           0.0074458
                 131,            0.066855,            0.014732,           0.0055714,             0.39488,             0.54545,             0.47019,             0.12575,             0.07304,           0.0076041,           0.0038388,            0.007426,            0.007426,            0.007426
                 132,            0.067077,             0.01512,            0.005129,             0.39488,             0.54545,             0.47019,             0.12575,             0.07304,           0.0076041,           0.0038388,           0.0074062,           0.0074062,           0.0074062
                 133,            0.069618,             0.01347,           0.0054877,             0.39488,             0.54545,             0.47019,             0.12575,             0.07304,           0.0076041,           0.0038388,           0.0073864,           0.0073864,           0.0073864
                 134,            0.066075,            0.014682,           0.0053778,             0.39488,             0.54545,             0.47019,             0.12575,             0.07304,           0.0076041,           0.0038388,           0.0073666,           0.0073666,           0.0073666
                 135,            0.065525,            0.014852,           0.0052716,             0.25239,             0.77273,             0.30436,            0.099341,            0.075663,           0.0076086,           0.0038696,           0.0073468,           0.0073468,           0.0073468
                 136,            0.073691,            0.016291,           0.0055348,             0.25239,             0.77273,             0.30436,            0.099341,            0.075663,           0.0076086,           0.0038696,            0.007327,            0.007327,            0.007327
                 137,            0.075108,            0.015052,           0.0052814,             0.25239,             0.77273,             0.30436,            0.099341,            0.075663,           0.0076086,           0.0038696,           0.0073072,           0.0073072,           0.0073072
                 138,            0.074178,             0.01394,           0.0054871,             0.25239,             0.77273,             0.30436,            0.099341,            0.075663,           0.0076086,           0.0038696,           0.0072874,           0.0072874,           0.0072874
                 139,            0.075223,            0.013754,           0.0049526,             0.44591,             0.54545,             0.55927,             0.16715,             0.06256,           0.0077459,           0.0039077,           0.0072676,           0.0072676,           0.0072676
                 140,            0.060151,            0.015311,           0.0056398,             0.44591,             0.54545,             0.55927,             0.16715,             0.06256,           0.0077459,           0.0039077,           0.0072478,           0.0072478,           0.0072478
                 141,            0.058043,            0.015039,           0.0054253,             0.44591,             0.54545,             0.55927,             0.16715,             0.06256,           0.0077459,           0.0039077,            0.007228,            0.007228,            0.007228
                 142,            0.060818,            0.017029,           0.0056363,             0.44591,             0.54545,             0.55927,             0.16715,             0.06256,           0.0077459,           0.0039077,           0.0072082,           0.0072082,           0.0072082
                 143,             0.05886,            0.014677,           0.0052497,             0.58383,             0.44676,             0.52629,             0.26002,            0.065402,            0.007535,           0.0038701,           0.0071884,           0.0071884,           0.0071884
                 144,            0.066733,            0.014871,           0.0049885,             0.58383,             0.44676,             0.52629,             0.26002,            0.065402,            0.007535,           0.0038701,           0.0071686,           0.0071686,           0.0071686
                 145,            0.062018,            0.017431,           0.0052781,             0.58383,             0.44676,             0.52629,             0.26002,            0.065402,            0.007535,           0.0038701,           0.0071488,           0.0071488,           0.0071488
                 146,            0.062195,            0.015872,           0.0054589,             0.58383,             0.44676,             0.52629,             0.26002,            0.065402,            0.007535,           0.0038701,            0.007129,            0.007129,            0.007129
                 147,            0.062986,            0.012983,           0.0053406,             0.46232,             0.59091,             0.45945,             0.19217,            0.061128,           0.0075441,           0.0038814,           0.0071092,           0.0071092,           0.0071092
                 148,            0.059222,            0.015911,           0.0055407,             0.46232,             0.59091,             0.45945,             0.19217,            0.061128,           0.0075441,           0.0038814,           0.0070894,           0.0070894,           0.0070894
                 149,            0.056648,            0.018125,           0.0056886,             0.46232,             0.59091,             0.45945,             0.19217,            0.061128,           0.0075441,           0.0038814,           0.0070696,           0.0070696,           0.0070696
                 150,            0.056193,            0.014092,           0.0053244,             0.46232,             0.59091,             0.45945,             0.19217,            0.061128,           0.0075441,           0.0038814,           0.0070498,           0.0070498,           0.0070498
                 151,            0.058506,            0.016536,           0.0054167,             0.54211,                 0.5,             0.60332,             0.29238,            0.057313,           0.0075434,           0.0038148,             0.00703,             0.00703,             0.00703
